Date/Time,Environment:Outdoor Dry Bulb [C](Hourly),Environment:Wind Speed [m/s](Hourly),Environment:Wind Direction [deg](Hourly),ZONE:Zone Mean Air Temperature [C](Hourly) ,ZONE:Zone Mean Air Temperature [C](Hourly) ,ZONE:Zone Mean Air Temperature [C](Hourly) 
 01/09  11:00:00,7.6666666667,0.625,4.1666666667,24.0065156555,24.0065156555,24.0065156555
 01/09  12:00:00,8,1.8083333333,5.8333333333,25.390551102,25.390551102,25.390551102
 01/09  13:00:00,8.5833333333,3.1,10,26.5292203212,26.5292203212,26.5292203212
 01/09  14:00:00,9,2.1666666667,27.5,26.9991330842,26.9991330842,26.9991330842
 01/09  15:00:00,10.1666666667,1.5,57.5,27.7765950269,27.7765950269,27.7765950269
 01/09  16:00:00,10.825,2.1416666667,52.5,26.3309898922,26.3309898922,26.3309898922
 01/09  17:00:00,10.2916666667,3.1833333333,226.6666666667,23.9399297692,23.9399297692,23.9399297692
 01/09  18:00:00,10,1.5,150,22.9083282078,22.9083282078,22.9083282078
 01/09  19:00:00,9.65,0,0,22.4579562059,22.4579562059,22.4579562059
 01/09  20:00:00,9.1083333333,0.875,175,22.0940488796,22.0940488796,22.0940488796
 01/09  21:00:00,8.55,1.85,165.8333333333,21.7744101015,21.7744101015,21.7744101015
 01/09  22:00:00,8.0083333333,1.75,46.6666666667,21.4879990661,21.4879990661,21.4879990661
 01/09  23:00:00,7.1583333333,3.0166666667,222.5,21.2105479476,21.2105479476,21.2105479476
 01/09  24:00:00,6.7,4.3916666667,354.1666666667,20.9473328189,20.9473328189,20.9473328189
 01/10  01:00:00,6.7,4.3083333333,355.8333333333,20.7329956576,20.7329956576,20.7329956576
 01/10  02:00:00,6.7,3.5166666667,161.6666666667,20.5317138435,20.5317138435,20.5317138435
 01/10  03:00:00,6.35,3.3916666667,20,20.3237082189,20.3237082189,20.3237082189
 01/10  04:00:00,6.1,3.3083333333,31.6666666667,20.120433179,20.120433179,20.120433179
 01/10  05:00:00,6.1,3.3916666667,22.5,19.9455963423,19.9455963423,19.9455963423
 01/10  06:00:00,6.1,3.0166666667,27.5,19.7715299527,19.7715299527,19.7715299527
